id,product_name,description,category,status_message
1,Premium Widget,High-quality widget for professional use,Electronics,In Stock
2,Standard Gadget,Reliable gadget for everyday tasks,Tools,Available Now
3,Deluxe Component,Premium component with extended warranty,Parts,Order Processing
4,Basic Module,Entry-level module for beginners,Accessories,Ships Tomorrow
5,Pro System,Professional-grade system solution,Systems,Ready to Ship
6,Starter Kit,Complete starter kit for new users,Kits,Limited Availability
7,Advanced Tool,Advanced tool for expert users,Tools,Pre-Order Available
8,Essential Pack,Essential pack with all basics,Bundles,In Stock
9,Master Suite,Comprehensive master suite package,Software,Download Ready
10,Expert Edition,Expert edition with all features,Premium,Shipping Now
11,Quick Start,Quick start guide included,Documentation,Instant Access
12,Power Bundle,Power bundle for maximum productivity,Bundles,Available Today
13,Smart Device,Smart device with AI capabilities,Electronics,Processing Order
14,Ultimate Package,Ultimate package with everything,Collections,Ships Next Week
15,Basic Service,Basic service subscription plan,Services,Active Subscription
16,Standard Plan,Standard plan with core features,Plans,Enrollment Open
17,Premium Access,Premium access to all resources,Memberships,Join Now
18,Enterprise Solution,Enterprise solution for large teams,Business,Contact Sales
19,Starter License,Starter license for individuals,Licenses,Purchase Now
20,Professional Tier,Professional tier with priority support,Tiers,Upgrade Available

